                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3037,                 3.5472,                 1.5491,                0.00197,                0.66667,                0.04624,                0.01742,                 1.4288,                 4.1463,                 1.9657,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.4696,                 3.5463,                 1.6229,                0.00241,                   0.75,                0.18184,                0.14072,                 1.1762,                 3.8483,                 1.6633,             5.5845e-05,             5.5845e-05,             5.5845e-05
                      3,                 1.3495,                 3.1804,                 1.4865,                0.00326,                0.91667,                0.27889,                0.20751,                 1.1654,                 3.7106,                 1.5783,             4.5342e-05,             4.5342e-05,             4.5342e-05
